bank,term,deposit_type,rate_text
VCBNeo,18 tháng,Quầy,"6,50"
VCBNeo,24 tháng,Quầy,"6,50"
VCBNeo,36 tháng,Quầy,"6,50"
VIB,Không kỳ hạn,Quầy,-
VIB,1 tháng,Quầy,"4,45"
VIB,3 tháng,Quầy,"4,55"
VIB,6 tháng,Quầy,"5,70"
VIB,9 tháng,Quầy,"5,80"
VIB,12 tháng,Quầy,"7,00"
VIB,13 tháng,Quầy,-
VIB,18 tháng,Quầy,"5,90"
VIB,24 tháng,Quầy,"6,00"
VIB,36 tháng,Quầy,"6,00"
VietCapitalBank,Không kỳ hạn,Quầy,-
VietCapitalBank,1 tháng,Quầy,"4,75"
VietCapitalBank,3 tháng,Quầy,"4,75"
VietCapitalBank,6 tháng,Quầy,"6,45"
VietCapitalBank,9 tháng,Quầy,"6,45"
VietCapitalBank,12 tháng,Quầy,"6,65"
VietCapitalBank,13 tháng,Quầy,-
VietCapitalBank,18 tháng,Quầy,"6,45"
VietCapitalBank,24 tháng,Quầy,"6,45"
VietCapitalBank,36 tháng,Quầy,"5,90"
Vietcombank,Không kỳ hạn,Quầy,"0,10"
Vietcombank,1 tháng,Quầy,"2,10"
Vietcombank,3 tháng,Quầy,"2,40"
Vietcombank,6 tháng,Quầy,"3,50"
Vietcombank,9 tháng,Quầy,"3,50"
Vietcombank,12 tháng,Quầy,"5,90"
Vietcombank,13 tháng,Quầy,-
Vietcombank,18 tháng,Quầy,-
Vietcombank,24 tháng,Quầy,"6,00"
Vietcombank,36 tháng,Quầy,"5,30"
VietinBank,Không kỳ hạn,Quầy,"0,10"
VietinBank,1 tháng,Quầy,"2,10"
VietinBank,3 tháng,Quầy,"2,40"
VietinBank,6 tháng,Quầy,"3,50"
VietinBank,9 tháng,Quầy,"3,50"
VietinBank,12 tháng,Quầy,"5,90"
VietinBank,13 tháng,Quầy,-
VietinBank,18 tháng,Quầy,"5,90"
VietinBank,24 tháng,Quầy,"6,00"
VietinBank,36 tháng,Quầy,"6,00"
VPBank,Không kỳ hạn,Quầy,-
VPBank,1 tháng,Quầy,"4,75"
VPBank,3 tháng,Quầy,-
VPBank,6 tháng,Quầy,"6,20"
VPBank,9 tháng,Quầy,-
VPBank,12 tháng,Quầy,"6,20"
VPBank,13 tháng,Quầy,-
VPBank,18 tháng,Quầy,-
VPBank,24 tháng,Quầy,"6,00"
VPBank,36 tháng,Quầy,-
VRB,Không kỳ hạn,Quầy,"0,20"
VRB,1 tháng,Quầy,"4,30"
VRB,3 tháng,Quầy,"4,30"
VRB,6 tháng,Quầy,"5,10"
VRB,9 tháng,Quầy,"5,20"
VRB,12 tháng,Quầy,"6,80"
VRB,13 tháng,Quầy,"5,90"
VRB,18 tháng,Quầy,"5,90"
VRB,24 tháng,Quầy,"5,90"
VRB,36 tháng,Quầy,"5,90"
Bắc Á,Không kỳ hạn,Online,"0,50"
Bắc Á,1 tháng,Online,"4,75"
Bắc Á,3 tháng,Online,"4,75"
Bắc Á,6 tháng,Online,"7,15"
Bắc Á,9 tháng,Online,"7,15"
Bắc Á,12 tháng,Online,"7,20"
Bắc Á,13 tháng,Online,"7,05"
Bắc Á,18 tháng,Online,"7,05"
Bắc Á,24 tháng,Online,"7,05"
Bắc Á,36 tháng,Online,"7,05"
Bảo Việt,Không kỳ hạn,Online,-
Bảo Việt,1 tháng,Online,"4,75"
Bảo Việt,3 tháng,Online,"4,75"
Bảo Việt,6 tháng,Online,"6,40"
Bảo Việt,9 tháng,Online,"6,40"
Bảo Việt,12 tháng,Online,"6,50"
Bảo Việt,13 tháng,Online,"6,50"
Bảo Việt,18 tháng,Online,"6,50"
Bảo Việt,24 tháng,Online,"6,50"
Bảo Việt,36 tháng,Online,"6,50"
GPBank,Không kỳ hạn,Online,"0,50"
