bank,deposit_type,term,term_months,interest_rate
SCB,Online,Không kỳ hạn,0,
SCB,Online,1 tháng,1,1.6
SCB,Online,3 tháng,3,1.9
SCB,Online,6 tháng,6,2.9
SCB,Online,9 tháng,9,2.9
SCB,Online,12 tháng,12,3.7
SCB,Online,13 tháng,13,3.9
SCB,Online,18 tháng,18,3.9
SCB,Online,24 tháng,24,3.9
SCB,Online,36 tháng,36,3.9
SCB,Quầy,Không kỳ hạn,0,0.01
SCB,Quầy,1 tháng,1,1.6
SCB,Quầy,3 tháng,3,1.9
SCB,Quầy,6 tháng,6,2.9
SCB,Quầy,9 tháng,9,2.9
SCB,Quầy,12 tháng,12,3.7
SCB,Quầy,13 tháng,13,
SCB,Quầy,18 tháng,18,3.9
SCB,Quầy,24 tháng,24,3.9
SCB,Quầy,36 tháng,36,3.9
SHB,Online,Không kỳ hạn,0,
SHB,Online,1 tháng,1,2.8
SHB,Online,3 tháng,3,3.0
SHB,Online,6 tháng,6,4.2
SHB,Online,9 tháng,9,4.4
SHB,Online,12 tháng,12,4.9
SHB,Online,13 tháng,13,5.0
SHB,Online,18 tháng,18,5.2
SHB,Online,24 tháng,24,5.5
SHB,Online,36 tháng,36,5.8
SHB,Quầy,Không kỳ hạn,0,
SHB,Quầy,1 tháng,1,
SHB,Quầy,3 tháng,3,
SHB,Quầy,6 tháng,6,
SHB,Quầy,9 tháng,9,
SHB,Quầy,12 tháng,12,
SHB,Quầy,13 tháng,13,
SHB,Quầy,18 tháng,18,
SHB,Quầy,24 tháng,24,
SHB,Quầy,36 tháng,36,
Saigonbank,Quầy,Không kỳ hạn,0,0.1
Saigonbank,Quầy,1 tháng,1,4.75
Saigonbank,Quầy,3 tháng,3,4.75
Saigonbank,Quầy,6 tháng,6,6.4
Saigonbank,Quầy,9 tháng,9,6.2
Saigonbank,Quầy,12 tháng,12,6.7
Saigonbank,Quầy,13 tháng,13,7.9
Saigonbank,Quầy,18 tháng,18,6.5
Saigonbank,Quầy,24 tháng,24,6.0
Saigonbank,Quầy,36 tháng,36,6.1
SeABank,Quầy,Không kỳ hạn,0,
SeABank,Quầy,1 tháng,1,2.95
SeABank,Quầy,3 tháng,3,3.45
SeABank,Quầy,6 tháng,6,3.75
SeABank,Quầy,9 tháng,9,3.95
SeABank,Quầy,12 tháng,12,4.5
SeABank,Quầy,13 tháng,13,
SeABank,Quầy,18 tháng,18,5.45
SeABank,Quầy,24 tháng,24,5.45
SeABank,Quầy,36 tháng,36,5.45
TPBank,Online,Không kỳ hạn,0,
TPBank,Online,1 tháng,1,4.75
TPBank,Online,3 tháng,3,4.75
TPBank,Online,6 tháng,6,6.0
TPBank,Online,9 tháng,9,
TPBank,Online,12 tháng,12,6.2
TPBank,Online,13 tháng,13,
TPBank,Online,18 tháng,18,6.2
TPBank,Online,24 tháng,24,6.3
TPBank,Online,36 tháng,36,6.3
TPBank,Quầy,Không kỳ hạn,0,
TPBank,Quầy,1 tháng,1,4.2
TPBank,Quầy,3 tháng,3,4.2
TPBank,Quầy,6 tháng,6,5.5
TPBank,Quầy,9 tháng,9,
TPBank,Quầy,12 tháng,12,
TPBank,Quầy,13 tháng,13,
TPBank,Quầy,18 tháng,18,5.9
TPBank,Quầy,24 tháng,24,
TPBank,Quầy,36 tháng,36,6.0
VCBNeo,Online,Không kỳ hạn,0,
VCBNeo,Online,1 tháng,1,4.45
VCBNeo,Online,3 tháng,3,4.45
VCBNeo,Online,6 tháng,6,6.5
VCBNeo,Online,9 tháng,9,6.5
VCBNeo,Online,12 tháng,12,6.5
VCBNeo,Online,13 tháng,13,6.5
VCBNeo,Online,18 tháng,18,6.5
VCBNeo,Online,24 tháng,24,6.5
VCBNeo,Online,36 tháng,36,6.5
VCBNeo,Quầy,Không kỳ hạn,0,0.5
VCBNeo,Quầy,1 tháng,1,4.45
VCBNeo,Quầy,3 tháng,3,4.45
VCBNeo,Quầy,6 tháng,6,6.5
VCBNeo,Quầy,9 tháng,9,6.5
VCBNeo,Quầy,12 tháng,12,6.5
VCBNeo,Quầy,13 tháng,13,6.5
VCBNeo,Quầy,18 tháng,18,6.5
VCBNeo,Quầy,24 tháng,24,6.5
VCBNeo,Quầy,36 tháng,36,6.5
VIB,Online,Không kỳ hạn,0,
VIB,Online,1 tháng,1,4.45
VIB,Online,3 tháng,3,4.55
VIB,Online,6 tháng,6,5.7
VIB,Online,9 tháng,9,5.8
VIB,Online,12 tháng,12,7.0
VIB,Online,13 tháng,13,
VIB,Online,18 tháng,18,5.9
VIB,Online,24 tháng,24,6.0
VIB,Online,36 tháng,36,6.0
VIB,Quầy,Không kỳ hạn,0,
VIB,Quầy,1 tháng,1,4.45
VIB,Quầy,3 tháng,3,4.55
VIB,Quầy,6 tháng,6,5.7
VIB,Quầy,9 tháng,9,5.8
VIB,Quầy,12 tháng,12,7.0
VIB,Quầy,13 tháng,13,
VIB,Quầy,18 tháng,18,5.9
VIB,Quầy,24 tháng,24,6.0
VIB,Quầy,36 tháng,36,6.0
VPBank,Quầy,Không kỳ hạn,0,
VPBank,Quầy,1 tháng,1,4.75
VPBank,Quầy,3 tháng,3,
VPBank,Quầy,6 tháng,6,6.2
VPBank,Quầy,9 tháng,9,
VPBank,Quầy,12 tháng,12,6.2
VPBank,Quầy,13 tháng,13,
VPBank,Quầy,18 tháng,18,
VPBank,Quầy,24 tháng,24,6.0
VPBank,Quầy,36 tháng,36,
VRB,Quầy,Không kỳ hạn,0,0.2
VRB,Quầy,1 tháng,1,4.3
VRB,Quầy,3 tháng,3,4.3
VRB,Quầy,6 tháng,6,5.1
VRB,Quầy,9 tháng,9,5.2
VRB,Quầy,12 tháng,12,6.8
VRB,Quầy,13 tháng,13,5.9
VRB,Quầy,18 tháng,18,5.9
